log_timestamp,lat_FromGnss,lng_FromGnss,GNSS_linear_ref,GNSS_TimeStamp,lat_FromDTC,lng_FromDTC,DTC_linear_ref,DTC_TimeStamp,pong_predicted_linear_ref,bus_line,vehicle_id,type,lat_FromDevice,lng_FromDevice
2017.07.03 10:31:22,7.858778166666667,98.36336533333333,,2017-07-03T09:59:58.100000+07:00,7.858783,98.363367,,2017-07-03T10:31:09.637000+07:00,0.1825411556106803,2,059049461,high,7.8582019,98.363712
2017.07.03 10:31:27,7.858778166666667,98.36336533333333,,2017-07-03T09:59:58.100000+07:00,7.858783,98.363367,,2017-07-03T10:31:09.637000+07:00,0.18301012126102942,2,059049461,high,7.8581264,98.3638981
2017.07.03 10:31:32,7.858778166666667,98.36336533333333,,2017-07-03T09:59:58.100000+07:00,7.858783,98.363367,,2017-07-03T10:31:24.677000+07:00,0.1835584105139448,2,059049461,high,7.8581704,98.3641692
2017.07.03 10:31:37,7.858159666666666,98.36418116666667,,2017-07-03T10:31:31.733000+07:00,7.858783,98.363367,,2017-07-03T10:31:24.677000+07:00,0.18404020650001032,2,059049461,high,7.8583537,98.3645835
2017.07.03 10:31:42,7.858305,98.36457,,2017-07-03T10:31:36.733000+07:00,7.858783,98.363367,,2017-07-03T10:31:24.677000+07:00,0.18453081484192346,2,059049461,high,7.8586531,98.3650051
2017.07.03 10:31:47,7.858514166666667,98.3649455,,2017-07-03T10:31:41.223000+07:00,7.858783,98.363367,,2017-07-03T10:31:24.677000+07:00,0.18500975484229826,2,059049461,high,7.8588445,98.3652592
2017.07.03 10:31:52,7.8588045,98.3653115,,2017-07-03T10:31:46.219000+07:00,7.858583,98.363367,,2017-07-03T10:31:43.040000+07:00,0.18551126502959006,2,059049461,high,7.8591966,98.36574
2017.07.03 10:31:57,7.8591093333333335,98.365681,,2017-07-03T10:31:51.579000+07:00,7.858583,98.363367,,2017-07-03T10:31:43.040000+07:00,0.18601865988739796,2,059049461,high,7.8593312,98.3659864
2017.07.03 10:32:02,7.859393166666667,98.36598866666667,,2017-07-03T10:31:55.581000+07:00,7.858583,98.363367,,2017-07-03T10:31:54.805000+07:00,0.1865245985525018,2,059049461,high,7.8597245,98.3664716
2017.07.03 10:32:07,7.859808166666666,98.36652716666667,,2017-07-03T10:32:01.980000+07:00,7.858583,98.363367,,2017-07-03T10:31:54.805000+07:00,0.18708172876112153,2,059049461,high,7.8600451,98.3669151
2017.07.03 10:32:12,7.8601201666666665,98.3669385,,2017-07-03T10:32:06.053000+07:00,7.858583,98.363367,,2017-07-03T10:31:54.805000+07:00,0.1875340692947672,2,059049461,high,7.8604177,98.367396
2017.07.03 10:32:17,7.860465666666666,98.36739533333333,,2017-07-03T10:32:11.018000+07:00,7.858583,98.363367,,2017-07-03T10:32:09.649000+07:00,0.18803570048145274,2,059049461,high,7.8608108,98.3678716
2017.07.03 10:32:22,7.8608365,98.36788466666667,,2017-07-03T10:32:16.450000+07:00,7.858583,98.363367,,2017-07-03T10:32:09.649000+07:00,0.18852487443055257,2,059049461,high,7.8610891,98.3682528
2017.07.03 10:32:27,7.861105666666667,98.36822583333333,,2017-07-03T10:32:20.427000+07:00,7.858583,98.363367,,2017-07-03T10:32:09.649000+07:00,0.18902095294505858,2,059049461,high,7.8610891,98.3682528
2017.07.03 10:32:32,7.8615125,98.36871216666667,,2017-07-03T10:32:26.592000+07:00,7.858583,98.363367,,2017-07-03T10:32:24.694000+07:00,0.1895210829392655,2,059049461,high,7.8610891,98.3682528
2017.07.03 10:32:37,7.861871833333334,98.36910533333334,,2017-07-03T10:32:31.574000+07:00,7.858583,98.363367,,2017-07-03T10:32:24.694000+07:00,0.19001429696812341,2,059049461,high,7.8610891,98.3682528
2017.07.03 10:32:42,7.862193166666667,98.369439,,2017-07-03T10:32:36.501000+07:00,7.858583,98.363367,,2017-07-03T10:32:24.694000+07:00,0.19051515565867938,2,059049461,high,7.8610891,98.3682528
2017.07.03 10:32:47,7.8623286666666665,98.36958033333333,,2017-07-03T10:32:41.631000+07:00,7.858583,98.363367,,2017-07-03T10:32:39.821000+07:00,0.19102416230841177,2,059049461,high,7.8610891,98.3682528
2017.07.03 10:32:52,7.862332333333333,98.36958066666666,,2017-07-03T10:32:46.808000+07:00,7.858583,98.363367,,2017-07-03T10:32:39.821000+07:00,0.19152727068769612,2,059049461,high,7.8610891,98.3682528
2017.07.03 10:32:57,7.862335666666667,98.36957766666667,,2017-07-03T10:32:51.696000+07:00,7.858583,98.363367,,2017-07-03T10:32:39.821000+07:00,0.1920300009688749,2,059049461,high,7.8610891,98.3682528
2017.07.03 10:33:02,7.862339,98.369578,,2017-07-03T10:32:56.719000+07:00,7.858583,98.363367,,2017-07-03T10:32:39.821000+07:00,0.19258542998601808,2,059049461,high,7.8610891,98.3682528
2017.07.03 10:33:07,7.862339166666667,98.36958033333333,,2017-07-03T10:33:00.854000+07:00,7.858583,98.363367,,2017-07-03T10:32:54.699000+07:00,0.1930481464676773,2,059049461,high,7.862338,98.3695845
2017.07.03 10:33:12,7.862345666666666,98.36959233333333,,2017-07-03T10:33:05.821000+07:00,7.858583,98.363367,,2017-07-03T10:32:54.699000+07:00,0.19354879675927741,2,059049461,high,7.862392,98.3695765
2017.07.03 10:33:17,7.862387166666666,98.36963983333334,,2017-07-03T10:33:11.348000+07:00,7.858583,98.363367,,2017-07-03T10:33:09.684000+07:00,0.19404798935818096,2,059049461,high,7.8625941,98.3698181
2017.07.03 10:33:22,7.862563166666667,98.36982333333333,,2017-07-03T10:33:16.716000+07:00,7.858583,98.363367,,2017-07-03T10:33:09.684000+07:00,0.19457274782899225,2,059049461,high,7.8627444,98.3700359
2017.07.03 10:33:27,7.862786166666667,98.37004633333333,,2017-07-03T10:33:21.411000+07:00,7.858583,98.363367,,2017-07-03T10:33:09.684000+07:00,0.19504220367688538,2,059049461,high,7.8628874,98.3702865
2017.07.03 10:33:32,7.8628591666666665,98.37023966666666,,2017-07-03T10:33:26.529000+07:00,7.858583,98.363367,,2017-07-03T10:33:09.684000+07:00,0.19554158787482895,2,059049461,high,7.8627286,98.3704405
