r_time,r_timenow,r_lon,r_lat
2017-07-06 13:43:10,2017-07-06 13:44:45,98.363367,7.858733
2017-07-06 13:35:43,2017-07-06 13:37:06,98.363367,7.858733
2017-07-06 13:28:15,2017-07-06 13:29:39,98.363367,7.858733
2017-07-06 13:20:48,2017-07-06 13:22:06,98.363367,7.858733
2017-07-06 13:19:51,2017-07-06 13:22:06,98.363367,7.858733
2017-07-06 13:18:41,2017-07-06 13:19:59,98.363167,7.858
2017-07-06 13:18:00,2017-07-06 13:19:26,98.362483,7.857817
2017-07-06 13:17:00,2017-07-06 13:18:34,98.36505,7.85855
2017-07-06 13:16:06,2017-07-06 13:17:19,98.36815,7.8609
2017-07-06 13:15:10,2017-07-06 13:16:29,98.370267,7.8628
2017-07-06 13:14:15,2017-07-06 13:15:40,98.371083,7.862033
2017-07-06 13:13:15,2017-07-06 13:14:18,98.376417,7.8594
2017-07-06 13:12:15,2017-07-06 13:13:24,98.38035,7.858933
2017-07-06 13:11:25,2017-07-06 13:12:32,98.380433,7.859267
2017-07-06 13:10:30,2017-07-06 13:11:38,98.38045,7.861467
2017-07-06 13:09:34,2017-07-06 13:10:44,98.3805,7.864917
2017-07-06 13:08:40,2017-07-06 13:09:52,98.380583,7.867917
2017-07-06 13:07:41,2017-07-06 13:09:01,98.380633,7.86915
2017-07-06 13:06:45,2017-07-06 13:08:10,98.380617,7.870633
2017-07-06 13:05:55,2017-07-06 13:07:19,98.378233,7.8731
2017-07-06 13:05:00,2017-07-06 13:06:27,98.379133,7.875517
2017-07-06 13:04:06,2017-07-06 13:04:48,98.3806,7.878017
2017-07-06 13:03:10,2017-07-06 13:04:36,98.3824,7.879483
2017-07-06 13:02:16,2017-07-06 13:03:46,98.385383,7.878967
2017-07-06 13:01:15,2017-07-06 13:02:16,98.3886,7.875917
2017-07-06 13:00:20,2017-07-06 13:01:27,98.3903,7.875817
2017-07-06 12:59:20,2017-07-06 13:00:36,98.3919,7.876217
